"inactiveWLow" "activeWLow" "inactiveWMed" "activeWMed" "inactiveWHigh" "activeWHigh" "cohort"
"1" 0.112463154712418 0.887536845287582 0.145534041224235 0.854465958775765 0.186108637577916 0.813891362422084 1932
"2" 0.0975757118042444 0.902424288195756 0.131791907514451 0.868208092485549 0.181818181818182 0.818181818181818 1933
"3" 0.0954613653413353 0.904538634658665 0.121951219512195 0.878048780487805 0.1508078994614 0.8491921005386 1934
"4" 0.0778945776298873 0.922105422370113 0.10246005579508 0.89753994420492 0.119259766963674 0.880740233036326 1935
"5" 0.0801479654747226 0.919852034525277 0.109811751283514 0.890188248716486 0.146752205292702 0.853247794707298 1936
"6" 0.0712411313052775 0.928758868694723 0.0954147892923403 0.90458521070766 0.109567901234568 0.890432098765432 1937
"7" 0.0641417226634087 0.935858277336591 0.0671039354187689 0.932896064581231 0.0647149460708783 0.935285053929122 1938
"8" 0.0562425209413642 0.943757479058636 0.05765639589169 0.94234360410831 0.0498489425981873 0.950151057401813 1939
"9" 0.0513521153302553 0.948647884669745 0.0544777581814619 0.945522241818538 0.0558510638297872 0.944148936170213 1940
"10" 0.137047411557215 0.862952588442785 0.134632418069088 0.865367581930912 0.123579545454545 0.876420454545455 1941
"11" 0.116774597869229 0.883225402130771 0.107486407360937 0.892513592639063 0.0972897845726199 0.90271021542738 1942
"12" 0.110859028565536 0.889140971434464 0.0964457252641691 0.903554274735831 0.0799001248439451 0.920099875156055 1943
"13" 0.112370790263421 0.887629209736579 0.0906073032610818 0.909392696738918 0.083743842364532 0.916256157635468 1944
"14" 0.0925771476230192 0.907422852376981 0.0799581005586592 0.920041899441341 0.0598290598290598 0.94017094017094 1945
"15" 0.156910253925179 0.843089746074821 0.148307184145334 0.851692815854666 0.0917159763313609 0.908284023668639 1946
"16" 0.146019125389492 0.853980874610508 0.120774647887324 0.879225352112676 0.0817409766454352 0.918259023354565 1947
"17" 0.147231798823768 0.852768201176232 0.124194880264244 0.875805119735756 0.0731234866828087 0.926876513317191 1948
"18" 0.143104380746349 0.856895619253651 0.119385921933693 0.880614078066307 0.0678046467520152 0.932195353247985 1949
"19" 0.139971299260404 0.860028700739596 0.111008751727315 0.888991248272685 0.0484682213077275 0.951531778692273 1950
"20" 0.12936753648828 0.870632463511721 0.101797247964055 0.898202752035945 0.0489724529951902 0.95102754700481 1951
"21" 0.135741718674988 0.864258281325012 0.100887235260446 0.899112764739553 0.0543028071790152 0.945697192820985 1952
"22" 0.137066726882692 0.862933273117308 0.110714725058433 0.889285274941567 0.051063829787234 0.948936170212766 1953
"23" 0.13596991110098 0.86403008889902 0.109010640706362 0.890989359293638 0.0431170886075949 0.956882911392405 1954
"24" 0.128942720161494 0.871057279838506 0.105151413565762 0.894848586434238 0.0485282418456643 0.951471758154336 1955
"25" 0.141802846599895 0.858197153400105 0.115661144107534 0.884338855892466 0.069193742478941 0.930806257521059 1956
"26" 0.163399742930591 0.836600257069409 0.118429661941112 0.881570338058888 0.0658651332984841 0.934134866701516 1957
"27" 0.154757929883139 0.845242070116861 0.115283555944822 0.884716444055178 0.0587174864795261 0.941282513520474 1958
"28" 0.14841108857336 0.85158891142664 0.108054393305439 0.891945606694561 0.0441796971953338 0.955820302804666 1959
"29" 0.14126582278481 0.85873417721519 0.0994300189993667 0.900569981000633 0.0479686735193343 0.952031326480666 1960
"30" 0.141004043126685 0.858995956873315 0.0933986739694436 0.906601326030556 0.0357951971001359 0.964204802899864 1961
"31" 0.133196017851013 0.866803982148987 0.0897409749133184 0.910259025086682 0.0370031978072179 0.962996802192782 1962
"32" 0.127603739544038 0.872396260455962 0.0873649126350874 0.912635087364913 0.0344528710725894 0.965547128927411 1963
"33" 0.125533731853117 0.874466268146883 0.0858216746711213 0.914178325328879 0.0368768026370004 0.963123197363 1964
"34" 0.130172413793103 0.869827586206897 0.0790910103598084 0.920908989640192 0.0330360762059181 0.966963923794082 1965
"35" 0.116993706034802 0.883006293965198 0.072048708986357 0.927951291013643 0.0296311227575086 0.970368877242491 1966
"36" 0.12778429073857 0.87221570926143 0.0759179995494481 0.924082000450552 0.0314229249011858 0.968577075098814 1967
"37" 0.122588424437299 0.877411575562701 0.0730294085492511 0.926970591450749 0.0281973816717019 0.971802618328298 1968
"38" 0.121223564954683 0.878776435045317 0.0658550613496933 0.934144938650307 0.0293838862559242 0.970616113744076 1969
"39" 0.125611745513866 0.874388254486134 0.0692536739986553 0.930746326001345 0.0341061506035639 0.965893849396436 1970
"40" 0.120016028851933 0.879983971148066 0.072041941607159 0.927958058392841 0.0337262012692656 0.966273798730734 1971
