"lowedF" "mededF" "highedF" "year"
"X.107" 0.24162265962554 0.507825252040326 0.250552088334133 1970
"X.108" 0.235090279044319 0.513450665693963 0.251459055261718 1971
"X.109" 0.223480504587156 0.511372324159021 0.265147171253823 1972
"X.110" 0.208243249459497 0.52665715994296 0.265099590597544 1973
"X.111" 0.19581662413416 0.539464090411958 0.264719285453883 1974
"X.112" 0.188464489726319 0.552732543268821 0.25880296700486 1975
"X.113" 0.184553285339769 0.552078565186634 0.263368149473597 1976
"X.114" 0.187378680873911 0.546648494610333 0.265972824515756 1977
"X.115" 0.187874220156597 0.54352468282879 0.268601097014613 1978
"X.116" 0.188000847996608 0.525503497986008 0.286495654017384 1979
"X.117" 0.187211228314881 0.512640571876907 0.300148199808212 1980
"X.118" 0.18240034850795 0.510956218688739 0.306643432803311 1981
