"lowedF" "mededF" "highedF" "cohort"
"1" 0.954576064263696 0.0230770335812035 0.0223469021513 1870
"2" 0.954203151656287 0.0231787297479808 0.0226181185922633 1871
"3" 0.953833000394981 0.0232824303801922 0.0228845692216879 1872
"4" 0.953471953481036 0.023388680356552 0.0231393661595961 1873
"5" 0.953126549755546 0.0234979122672262 0.0233755379747236 1874
"6" 0.952800551576364 0.0236114701305473 0.0235879782908807 1875
"7" 0.9524976165183 0.0237306041432709 0.0237717793364998 1876
"8" 0.952221839073552 0.0238558527665963 0.0239223081581828 1877
"9" 0.951970221337383 0.0239897326987771 0.0240400459624103 1878
"10" 0.951736401610468 0.0241357838999566 0.0241278144883655 1879
"11" 0.95150824474981 0.0242993394621641 0.0241924157870145 1880
"12" 0.951270859623348 0.0244868180623199 0.0242423223134992 1881
"13" 0.951003479277784 0.0247078743217904 0.0242886463997512 1882
"14" 0.950681522897113 0.0249755471109334 0.0243429299914176 1883
"15" 0.950280086011383 0.025303277757456 0.0244166362307464 1884
"16" 0.949775470769397 0.0257033704713916 0.0245211587589025 1885
"17" 0.949145314025871 0.0261873946978106 0.0246672912760981 1886
"18" 0.948371384840433 0.0267651179396046 0.0248634972198179 1887
"19" 0.947437378019217 0.027445644351697 0.0251169776290042 1888
"20" 0.94633151567179 0.0282368611016152 0.0254316232265638 1889
"21" 0.945046738692173 0.029144980343653 0.0258082809641738 1890
"22" 0.943578450231102 0.0301752285681053 0.0262463212007931 1891
"23" 0.941928076377038 0.0313303517600836 0.0267415718628786 1892
"24" 0.940099213211661 0.0326121151696378 0.0272886716187016 1893
"25" 0.93809823427982 0.0340207249751273 0.0278810407450523 1894
"26" 0.935932659096706 0.0355555601996114 0.0285117807036824 1895
"27" 0.933610340054963 0.037215515296992 0.0291741446480448 1896
"28" 0.931139979345547 0.0389980129910765 0.0298620076633767 1897
"29" 0.928530323917304 0.0408999394312911 0.0305697366514047 1898
"30" 0.925789449952339 0.0429175061996319 0.0312930438480286 1899
"31" 0.92292491312795 0.0450467770616325 0.0320283098104174 1900
"32" 0.919943603563089 0.0472833048859449 0.0327730915509665 1901
"33" 0.916855041340142 0.0496202865727733 0.0335246720870851 1902
"34" 0.913667981748615 0.0520512903873839 0.0342807278640017 1903
"35" 0.910385138129934 0.0545737468491328 0.0350411150209334 1904
"36" 0.907006504174106 0.0571867642710364 0.0358067315548581 1905
"37" 0.903526205576592 0.0598934308743524 0.036580363549056 1906
"38" 0.899933033520682 0.0627020710612465 0.0373648954180712 1907
"39" 0.89621468573023 0.0656222635043703 0.0381630507653998 1908
"40" 0.892358611439105 0.0686640800075472 0.0389773085533476 1909
"41" 0.888352646551615 0.0718372638818676 0.0398100895665175 1910
"42" 0.884186615465487 0.075149788860565 0.0406635956739477 1911
"43" 0.879851564658171 0.0786093269983386 0.0415391083434903 1912
"44" 0.875338769012598 0.0822236144849163 0.0424376165024854 1913
"45" 0.870639643746845 0.0860004939531495 0.0433598623000053 1914
"46" 0.865744629757236 0.0899479198524968 0.0443074503902673 1915
"47" 0.860640130317943 0.0940741874557217 0.0452856822263354 1916
"48" 0.855310734669404 0.0983880224133134 0.0463012429172821 1917
"49" 0.849737072942365 0.102899919140645 0.0473630079169907 1918
"50" 0.843896008251729 0.107622269534135 0.0484817222141355 1919
"51" 0.837763377384289 0.112568207456247 0.0496684151594637 1920
"52" 0.831313874202017 0.117752282324462 0.0509338434735206 1921
"53" 0.824521870808417 0.123189681873084 0.0522884473184997 1922
"54" 0.81736186623393 0.128896828924277 0.0537413048417928 1923
"55" 0.809809407625767 0.134890820230628 0.0552997721436043 1924
"56" 0.80184104784948 0.14118869645554 0.0569702556949801 1925
"57" 0.793436278499951 0.147806884403334 0.0587568370967151 1926
"58" 0.784576591398257 0.1547608946693 0.0606625139324429 1927
"59" 0.775248540540913 0.162063186871685 0.0626882725874021 1928
"60" 0.765441406131247 0.169724324253302 0.064834269615451 1929
"61" 0.755151609393242 0.177749070014811 0.0670993205919463 1930
"62" 0.744382225689159 0.186135991655874 0.0694817826549674 1931
"63" 0.733139568404603 0.194880508273282 0.0719799233221146 1932
"64" 0.721437709543247 0.203970507422186 0.0745917830345671 1933
"65" 0.709293878694888 0.213390551393902 0.07731556991121 1934
"66" 0.696730476329467 0.223118765384402 0.0801507582861309 1935
"67" 0.683772317463304 0.23312916188463 0.0830985206520662 1936
"68" 0.670446118137282 0.24339366155111 0.0861602203116083 1937
"69" 0.656785001875761 0.253878488029301 0.0893365100949383 1938
"70" 0.642824582124524 0.264547955436299 0.0926274624391773 1939
"71" 0.62860402453158 0.275364436786803 0.0960315386816173 1940
"72" 0.614163616692958 0.286290070624241 0.0995463126828007 1941
"73" 0.599544716761773 0.297288382840319 0.103166900397908 1942
"74" 0.584789456657516 0.308324686654924 0.10688585668756 1943
"75" 0.569939899216022 0.319365407159329 0.110694693624649 1944
"76" 0.55503729106959 0.330379880406473 0.114582828523937 1945
"77" 0.540122502423323 0.34133854320154 0.118538954375137 1946
"78" 0.525235327510611 0.352212766779854 0.122551905709534 1947
"79" 0.510413842322684 0.362972064919906 0.12661409275741 1948
"80" 0.495696011621891 0.373584006633386 0.130719981744723 1949
"81" 0.4811209011209 0.384010612333461 0.134868486545639 1950
"82" 0.466727857621311 0.394211605218049 0.13906053716064 1951
"83" 0.452555565563974 0.404143032379407 0.14330140205662 1952
"84" 0.438639972176523 0.413759887471363 0.147600140352114 1953
"85" 0.425014602173678 0.423018261122634 0.151967136703689 1954
"86" 0.411706033283052 0.431878775234284 0.156415191482664 1955
